image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_07617.jpg,1.0,1.16212e-10,9.21568e-10,7.55121e-12,1.69126e-13,4.82343e-09,4.16049e-10,1.15343e-09
img_04908.jpg,2.98895e-15,2.65302e-12,1.20006e-12,1.82622e-17,5.4127e-15,4.3811e-19,1.12788e-20,1.0
img_03940.jpg,1.37221e-07,1.87583e-10,2.34203e-08,1.0,4.90528e-09,2.23843e-08,3.21132e-11,1.79949e-08
img_04636.jpg,3.41102e-15,1.19942e-13,1.79032e-17,9.40279e-19,4.16769e-18,1.0,7.00501e-22,3.39542e-15
img_07772.jpg,1.0,2.55919e-12,1.0945e-15,1.90435e-16,8.26267e-10,7.75293e-12,1.91342e-12,6.29061e-12
img_03174.jpg,4.26391e-09,2.71215e-11,1.97531e-08,1.0916e-09,1.0,2.92773e-11,4.67614e-13,9.9852e-11
img_04759.jpg,6.73575e-09,1.3562e-07,2.23291e-06,1.49075e-08,9.73006e-15,4.79808e-08,5.21711e-16,0.999997
img_06804.jpg,0.999734,0.000120867,5.46505e-07,1.18859e-05,0.000116733,5.52887e-06,1.0268e-05,5.4965e-07
img_03323.jpg,0.999945,1.96606e-05,3.03445e-06,2.65215e-07,2.96022e-05,6.07465e-07,7.26766e-08,1.622e-06
img_05123.jpg,1.77187e-05,1.09536e-06,2.6474e-07,0.999957,6.58571e-06,1.65104e-05,5.57017e-09,4.83555e-07
img_00105.jpg,6.2782e-08,7.1845e-10,1.43684e-10,1.39188e-10,1.0,2.44732e-09,7.86281e-10,3.08784e-09
img_04859.jpg,6.00971e-06,1.88106e-07,2.42519e-06,2.96595e-15,8.2461e-07,6.38633e-07,3.22713e-12,0.99999
img_03158.jpg,9.0541e-13,3.73304e-16,6.57268e-17,1.28328e-19,1.0,3.10989e-15,5.53102e-18,1.33151e-15
img_03536.jpg,4.01142e-16,1.90258e-13,3.95339e-16,1.08347e-15,1.0,1.85638e-16,1.70388e-14,4.5366e-11
img_06293.jpg,0.999523,9.94479e-07,1.35998e-06,1.49286e-05,7.33945e-07,6.57446e-07,7.54427e-11,0.000458238
img_07579.jpg,1.49571e-06,0.999998,2.69693e-08,3.32809e-11,6.26618e-12,1.41891e-08,8.04502e-11,4.57245e-10
img_05275.jpg,0.999978,9.65516e-09,1.79263e-05,1.46157e-09,6.83978e-09,3.25026e-06,1.04066e-11,1.18441e-06
img_05287.jpg,8.9073e-09,3.05004e-08,2.88916e-10,9.58971e-10,5.03553e-10,0.999999,2.63566e-09,6.57585e-07
img_06156.jpg,1.06569e-06,7.48074e-08,1.66713e-09,1.43247e-09,3.009e-09,5.06187e-08,5.42739e-12,0.999999
img_05172.jpg,1.79002e-06,1.21754e-09,5.89845e-08,2.92331e-08,2.02146e-09,2.29056e-08,3.48864e-06,0.999995
img_02485.jpg,6.61284e-12,1.35294e-10,1.36942e-11,1.92733e-12,3.41337e-12,2.76352e-10,1.4609e-14,1.0
img_05159.jpg,0.99987,2.99439e-05,7.16581e-06,3.11588e-07,9.03244e-05,7.21207e-07,1.61991e-07,1.4103e-06
img_03186.jpg,1.20913e-05,1.73133e-05,1.18891e-05,3.34977e-05,0.99981,9.34668e-05,1.71961e-05,4.58536e-06
